used,"x, 2theta (deg)",obs,calc,bkg,diff,Gd2Zr2O7,tick-pos,diff/sigma,Axis-limits
1,21.92,19833.3,20010.404487580938,20010.404487580938,-2221.304488, , ,182.62885861768947, 
1,21.93,20020,20007.37150925784,20007.37150925784,-2031.571509, , ,182.76569700028503, 
1,21.94,19893.3,20004.338747738224,20004.338747738224,-2155.238748, , ,181.53980279817426, 
1,21.95,20003.3,20001.30620502553,20001.30620502553,-2042.206205, , ,182.57409454793964, 
1,21.96,20356.7,19998.27388312096,19998.27388312096,-1685.773883, , ,182.53766734567415, 
1,21.97,20030,19995.241784023558,19995.241784023558,-2009.441784, , ,183.1392912512222, 
1,21.98,20033.3,19992.209909730158,19992.209909730158,-2003.10991, , ,183.22117781522965, 
1,21.99,19796.7,19989.178262235408,19989.178262235408,-2236.678262, , ,182.5012329, 
1,22,20193.3,19986.146843531747,19986.146843531747,-1837.046844, , ,181.9431229807821, 
1,22.01,19830,19983.115655609443,19983.115655609443,-2197.315656, , ,182.18122845123204, 
1,22.02,20020,19980.084700456548,19980.084700456548,-2004.2847, , ,184.23707553041544, 
1,22.03,19923.3,19977.053980058943,19977.053980058943,-2097.95398, , ,183.4756115, 
1,22.04,20043.3,19974.023496400318,19974.023496400318,-1974.923496, , ,185.19368239764552, 
1,22.05,20096.7,19970.993251462172,19970.993251462172,-1918.493251, , ,185.3375299285064, 
1,22.06,19616.7,19967.963247223805,19967.963247223805,-2395.463247, , ,184.55351527402559, 
1,22.07,19503.3,19964.93348566234,19964.93348566234,-2505.833486, , ,185.3016459721823, 
1,22.08,20160,19961.90396875272,19961.90396875272,-1846.103969, , ,186.50281499216038, 
1,22.09,19510,19958.874698467684,19958.874698467684,-2493.074698, , ,185.34643239080705, 
1,22.1,19930,19955.845676777815,19955.845676777815,-2070.045677, , ,186.10024180532383, 
1,22.11,19383.3,19952.81690565148,19952.81690565148,-2613.716906, , ,184.88726294691043, 
1,22.12,19863.3,19949.788387054883,19949.788387054883,-2130.688387, , ,183.7751343354155, 
1,22.13,19653.3,19946.76012295205,19946.76012295205,-2337.660123, , ,185.4812659003599, 
1,22.14,19780,19943.732115304803,19943.732115304803,-2207.932115, , ,184.53536246475906, 
1,22.15,19910,19940.70436607282,19940.70436607282,-2074.904366, , ,185.88517961365292, 
1,22.16,19813.3,19937.67687721356,19937.67687721356,-2168.576877, , ,185.71483516402236, 
1,22.17,20286.7,19934.649650682324,19934.649650682324,-1692.149651, , ,184.6258378, 
1,22.18,19736.7,19931.622688432242,19931.622688432242,-2239.122688, , ,184.43616781965514, 
1,22.19,19603.3,19928.595992414248,19928.595992414248,-2369.495992, , ,184.52642087245934, 
1,22.2,19883.3,19925.56956457712,19925.56956457712,-2086.469565, , ,183.76615575235826, 
1,22.21,19730,19922.543406867448,19922.543406867448,-2236.743407, , ,183.38484124921558, 
1,22.22,20123.3,19919.51752122965,19919.51752122965,-1840.417521, , ,184.17383093154143, 
1,22.23,19793.3,19916.49190960597,19916.49190960597,-2167.39191, , ,183.6845121397011, 
1,22.24,19846.7,19913.466573936494,19913.466573936494,-2110.966574, , ,183.37584355634195, 
1,22.25,19643.3,19910.44151615911,19910.44151615911,-2311.341516, , ,183.37584355634195, 
1,22.26,20026.7,19907.416738209547,19907.416738209547,-1924.916738, , ,183.83878807259364, 
1,22.27,19753.3,19904.392242021382,19904.392242021382,-2195.292242, , ,184.65291765905025, 
1,22.28,19933.3,19901.36803,19901.36803,-2012.26803, , ,184.3548209, 
1,22.29,19960,19898.344102652612,19898.344102652612,-1982.544103, , ,184.1377201987686, 
1,22.3,19826.7,19895.320463328295,19895.320463328295,-2112.820463, , ,183.43936327844142, 
1,22.31,19583.3,19892.297113477925,19892.297113477925,-2353.197113, , ,182.62885861768947, 
1,22.32,19713.3,19889.274055024227,19889.274055024227,-2220.174055, , ,185.31945391674344, 
1,22.33,20180,19886.251289887776,19886.251289887776,-1750.45129, , ,182.3641960473601, 
1,22.34,19870,19883.228819986947,19883.228819986947,-2057.42882, , ,185.83137517652935, 
1,22.35,19880,19880.20664723799,19880.20664723799,-2044.406647, , ,183.70274902679057, 
1,22.36,19746.7,19877.18477355496,19877.18477355496,-2174.684774, , ,184.4540593210136, 
1,22.37,19793.3,19874.163200849776,19874.163200849776,-2125.063201, , ,183.87495751189178, 
1,22.38,20036.7,19871.141931032176,19871.141931032176,-1878.641931, , ,183.45762453493177, 
1,22.39,20213.3,19868.12096600976,19868.12096600976,-1699.020966, , ,184.7159982243011, 
1,22.4,19966.7,19865.10030768796,19865.10030768796,-1942.600308, , ,184.17383093154143, 
1,22.41,20050,19862.079957970032,19862.079957970032,-1856.279958, , ,183.5028610131188, 
1,22.42,20106.7,19859.059918757106,19859.059918757106,-1796.559919, , ,182.9117273440935, 
1,22.43,19686.7,19856.040191948126,19856.040191948126,-2213.540192, , ,182.60147863585334, 
1,22.44,19646.7,19853.02077943991,19853.02077943991,-2250.520779, , ,183.70274902679057, 
1,22.45,19596.7,19850.00168,19850.00168,-2297.501683, , ,184.61662980349305, 
1,22.46,19616.7,19846.98290490219,19846.98290490219,-2274.482905, , ,184.26421247762684, 
1,22.47,19740,19843.964446655522,19843.964446655522,-2148.164447, , ,183.59384521274126, 
1,22.48,19760,19840.946310275285,19840.946310275285,-2125.14631, , ,184.61662980349305, 
1,22.49,19586.7,19837.928497647517,19837.928497647517,-2295.428498, , ,184.68892765945662, 
1,22.5,19943.3,19834.91101065612,19834.91101065612,-1935.811011, , ,184.8153132183586, 
1,22.51,19500,19831.893851182802,19831.893851182802,-2376.093851, , ,186.08250858154292, 
1,22.52,19526.7,19828.877021107197,19828.877021107197,-2346.377021, , ,184.0380395461764, 
