used,"x, 2theta (deg)",obs,calc,bkg,diff,Gd2Zr2O7,Gd3Fe5O12,tick-pos,diff/sigma,Axis-limits
1,22.04,20043.3,19974.63224,19974.023496400318,-1975.532245, , , ,185.19368239764552, 
1,22.05,20096.7,19971.600821629803,19970.993251462172,-1919.100822, , , ,185.3375299285064, 
1,22.06,19616.7,19968.56968534277,19967.963247223805,-2396.069685, , , ,184.55351527402559, 
1,22.07,19503.3,19965.53883750528,19964.93348566234,-2506.438838, , , ,185.3016459721823, 
1,22.08,20160,19962.508278915084,19961.90396875272,-1846.708279, , , ,186.50281499216038, 
1,22.09,19510,19959.478011258077,19958.874698467684,-2493.678011, , , ,185.34643239080705, 
1,22.1,19930,19956.448035506462,19955.845676777815,-2070.648036, , , ,186.10024180532383, 
1,22.11,19383.3,19953.41835339764,19952.81690565148,-2614.318353, , , ,184.88726294691043, 
1,22.12,19863.3,19950.388965791397,19949.788387054883,-2131.288966, , , ,183.7751343354155, 
1,22.13,19653.3,19947.359874472953,19946.76012295205,-2338.259874, , , ,185.4812659003599, 
1,22.14,19780,19944.33108049143,19943.732115304803,-2208.53108, , , ,184.53536246475906, 
1,22.15,19910,19941.30258554201,19940.70436607282,-2075.502586, , , ,185.88517961365292, 
1,22.16,19813.3,19938.274390684357,19937.67687721356,-2169.174391, , , ,185.71483516402236, 
1,22.17,20286.7,19935.24649764281,19934.649650682324,-1692.746498, , , ,184.6258378, 
1,22.18,19736.7,19932.218907591905,19931.622688432242,-2239.718908, , , ,184.43616781965514, 
1,22.19,19603.3,19929.191622169656,19928.595992414248,-2370.091622, , , ,184.52642087245934, 
1,22.2,19883.3,19926.164642725067,19925.56956457712,-2087.064643, , , ,183.76615575235826, 
1,22.21,19730,19923.13797074652,19922.543406867448,-2237.337971, , , ,183.38484124921558, 
1,22.22,20123.3,19920.11160773512,19919.51752122965,-1841.011608, , , ,184.17383093154143, 
1,22.23,19793.3,19917.085555163732,19916.49190960597,-2167.985555, , , ,183.6845121397011, 
1,22.24,19846.7,19914.05981,19913.466573936494,-2111.559815, , , ,183.37584355634195, 
1,22.25,19643.3,19911.03438727372,19910.44151615911,-2311.934387, , , ,183.37584355634195, 
1,22.26,20026.7,19908.009275057586,19907.416738209547,-1925.509275, , , ,183.83878807259364, 
1,22.27,19753.3,19904.984479162365,19904.392242021382,-2195.884479, , , ,184.65291765905025, 
1,22.28,19933.3,19901.960001497093,19901.36803,-2012.860001, , , ,184.3548209, 
1,22.29,19960,19898.935843197498,19898.344102652612,-1983.135843, , , ,184.1377201987686, 
1,22.3,19826.7,19895.912006186925,19895.320463328295,-2113.412006, , , ,183.43936327844142, 
1,22.31,19583.3,19892.888491723428,19892.297113477925,-2353.788492, , , ,182.62885861768947, 
1,22.32,19713.3,19889.8653,19889.274055024227,-2220.765302, , , ,185.31945391674344, 
1,22.33,20180,19886.842437325467,19886.251289887776,-1751.042437, , , ,182.3641960473601, 
1,22.34,19870,19883.819900566854,19883.228819986947,-2058.019901, , , ,185.83137517652935, 
1,22.35,19880,19880.797692692133,19880.20664723799,-2044.997693, , , ,183.70274902679057, 
1,22.36,19746.7,19877.775815589288,19877.18477355496,-2175.275816, , , ,184.4540593210136, 
1,22.37,19793.3,19874.754270566737,19874.163200849776,-2125.654271, , , ,183.87495751189178, 
1,22.38,20036.7,19871.733059597547,19871.141931032176,-1879.23306, , , ,183.45762453493177, 
1,22.39,20213.3,19868.712183944845,19868.12096600976,-1699.612184, , , ,184.7159982243011, 
1,22.4,19966.7,19865.69165,19865.10030768796,-1943.191646, , , ,184.17383093154143, 
1,22.41,20050,19862.67144588808,19862.079957970032,-1856.871446, , , ,183.5028610131188, 
1,22.42,20106.7,19859.65158677804,19859.059918757106,-1797.151587, , , ,182.9117273440935, 
1,22.43,19686.7,19856.63206950174,19856.040191948126,-2214.13207, , , ,182.60147863585334, 
1,22.44,19646.7,19853.612896034225,19853.02077943991,-2251.112896, , , ,183.70274902679057, 
1,22.45,19596.7,19850.594067975842,19850.00168,-2298.094068, , , ,184.61662980349305, 
1,22.46,19616.7,19847.57558698067,19846.98290490219,-2275.075587, , , ,184.26421247762684, 
1,22.47,19740,19844.557454726706,19843.964446655522,-2148.757455, , , ,183.59384521274126, 
